distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.955294090373250082e+00,-8.174948040211489630e-02,-1.138073769178190031e-01,2.262248216690929958e-01,6.486663938552570396e-01,1.726749908784390053e+00,-1.140183955866079124e+00,4.095258549156804984e-02,-1.220451023429552473e+00,-1.059916888302605775e+00
2.266396291368609983e+00,-1.554818974228530104e-01,-5.224569754618230144e-01,-5.319447917581420215e-01,-4.315939985855670180e-01,8.930431788190880127e-01,-1.376784235909382259e+00,6.066648260028109640e-02,-1.495690541805933194e+00,-1.257877930012831325e+00
4.248810919758770233e+00,3.364337334095480192e-01,8.540469354232409493e-01,2.172570068728460133e-02,-3.393403562559100251e-01,1.863159389797500065e+00,-1.307151001040328442e+00,6.936577064375994139e-02,-1.443107911502097940e+00,-1.171194090578558944e+00
4.814998438971460182e+00,-7.347346514588429800e-01,-6.945199643224539976e-01,5.003406646872610164e-01,9.670902560898799738e-01,2.217714611563109894e+00,-1.011710210891721973e+00,1.053975796382958935e-01,-1.218289466982781954e+00,-8.051309548006619909e-01
2.228157829574390014e+00,-5.877418407971559677e-01,2.303186008034459886e-01,-9.784707979444839943e-01,3.064351400516899804e-01,6.510782789885349864e-01,-1.331788600187781446e+00,7.730200330882727733e-02,-1.483300526673082986e+00,-1.180276673702479906e+00
2.211284708226370022e+00,-4.009727470933699967e-01,1.442871063731299974e-01,-9.572594529490300319e-01,2.379888892909770015e-01,1.292320109596809985e+00,-1.320830232511543301e+00,6.074862494446219702e-02,-1.439897537402689220e+00,-1.201762927620397381e+00
1.537386776367889896e+00,-8.852196330499920163e-02,-3.288861129936109795e-01,3.948278203509030249e-01,6.933052530470269481e-01,1.162604994967519900e+00,-1.180087934956019824e+00,5.094989146523080242e-02,-1.279949722227872178e+00,-1.080226147684167470e+00
2.405752414526499905e+00,3.936831779461940073e-01,-5.869805962845600078e-01,-9.447501982081220051e-01,-4.911124775079260263e-01,1.555071139089740040e+00,-1.140450359470800201e+00,4.284578554459567840e-02,-1.224428099138207715e+00,-1.056472619803392687e+00
2.885991064478850010e+00,5.693295536840550231e-01,-3.073782393860309825e-01,-3.138486547536080140e-01,-5.625346522147569583e-01,2.000593030765529967e+00,-1.114724272149181905e+00,3.176616076665667726e-02,-1.176985947251828923e+00,-1.052462597046534887e+00
8.965972046673880147e-01,-7.231589004275390531e-01,4.453973368792379928e-01,-1.558513285695249939e-01,1.056367974473420013e+00,1.313136917263550085e+00,-1.361063579437084226e+00,4.525854761809083859e-02,-1.449770332768542280e+00,-1.272356826105626171e+00
2.087711252772539883e+00,-5.158486262083850082e-01,4.238894632716579958e-01,-5.354800159240510338e-01,4.373757936808809754e-01,7.416621117814530262e-01,-1.156110103019380775e+00,3.077198617218187063e-02,-1.216423195916857214e+00,-1.095797010121904336e+00
1.878191115344459927e+00,-6.145010169947290324e-01,5.744445785247119796e-01,-1.759749122831600066e-01,4.671350331420600077e-01,1.335283895784870056e+00,-1.265670795601957721e+00,2.753763915641998031e-02,-1.319644568348540936e+00,-1.211697022855374506e+00
3.807946177794189868e+00,5.862395489005089999e-01,4.238894632716579958e-01,1.019480952213709934e-01,-6.012216635142909604e-01,2.042314237191070081e+00,-1.133620665820611606e+00,3.723147891764014283e-02,-1.206594364499186334e+00,-1.060646967142036878e+00
