distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.664319268296689941e-02,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.403615482034417550e+00,1.253446528277051830e-01,-1.649291001576719706e+00,-1.157939962492115393e+00
4.480207382638085045e-02,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.397926218764769635e+00,1.218663012061904916e-01,-1.636784169128902899e+00,-1.159068268400636370e+00
7.296095496979479456e-02,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.392197438025857048e+00,1.184608386461758062e-01,-1.624380681772361612e+00,-1.160014194279352484e+00
1.011198361132087387e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.386434859995843372e+00,1.151285377708844010e-01,-1.612086794026776904e+00,-1.160782925964909840e+00
1.292787172566226828e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.380644212784024605e+00,1.118696275324004286e-01,-1.599908682747529509e+00,-1.161379742820519700e+00
1.574375984000366546e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.374831226936220840e+00,1.086842928281616522e-01,-1.587852440879417681e+00,-1.161810012993023999e+00
1.855964795434505987e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.369001629907943496e+00,1.055726740768554300e-01,-1.575924071098580015e+00,-1.162079188717306977e+00
2.137553606868645428e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.363161140515137371e+00,1.025348667641973466e-01,-1.564129479372964093e+00,-1.162192801657310648e+00
2.419142418302784869e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.357315463364999308e+00,9.957092092411196083e-02,-1.552474468376258798e+00,-1.162156458353739819e+00
2.700731229736924033e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.351470283276435591e+00,9.668084058088971533e-02,-1.540964730814979422e+00,-1.161975835737891760e+00
2.982320041171063751e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.345631259694479942e+00,9.386458311983782166e-02,-1.529605842609362165e+00,-1.161656676779597719e+00
3.263908852605202915e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.339804021104512577e+00,9.112205859508495931e-02,-1.518403255950879105e+00,-1.161204786258146049e+00
3.545497664039342633e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.333994159454166217e+00,8.845312896329159125e-02,-1.507362292222217626e+00,-1.160626026686114809e+00
