distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.664319268296689941e-02,-8.628892300136410398e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.650483656784794917e+00,2.018319957613846638e-01,-2.046074368477108774e+00,-1.254892945092481060e+00
1.664319268296689941e-02,-8.190737226347100108e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.604332251173356205e+00,1.854787215741830753e-01,-1.967870545458755061e+00,-1.240793956887957350e+00
1.664319268296689941e-02,-7.752582152557789819e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.559609707743895290e+00,1.704278841149161339e-01,-1.893648360609130776e+00,-1.225571054878659805e+00
1.664319268296689941e-02,-7.314427078768479529e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.517078631769007702e+00,1.567135240025210874e-01,-1.824237138813948889e+00,-1.209920124724066515e+00
1.664319268296689941e-02,-6.876272004979169239e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.477432372798268334e+00,1.443604378013493283e-01,-1.760378830888913004e+00,-1.194485914707623664e+00
1.664319268296689941e-02,-6.438116931189858949e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.441280082938064533e+00,1.333859271465047680e-01,-1.702716500145213807e+00,-1.179843665730915259e+00
1.664319268296689941e-02,-5.999961857400548659e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.409133836697882503e+00,1.238015058786452183e-01,-1.651784788220027167e+00,-1.166482885175737838e+00
1.664319268296689941e-02,-5.561806783611238370e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.381398178277616129e+00,1.156141542101655761e-01,-1.608001920529540607e+00,-1.154794436025691651e+00
1.664319268296689941e-02,-5.123651709821928080e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.358362392584759437e+00,1.088266247616284516e-01,-1.571662577117551196e+00,-1.145062208051967678e+00
1.664319268296689941e-02,-4.685496636032617790e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.340195715957939626e+00,1.034363647844982609e-01,-1.542930990935556190e+00,-1.137460440980323062e+00
1.664319268296689941e-02,-4.247341562243307500e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.326945614267425411e+00,9.943292450423091289e-02,-1.521834146295717893e+00,-1.132057082239132928e+00
1.664319268296689941e-02,-3.809186488453997210e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.318539162824990507e+00,9.679428761195832398e-02,-1.508255966544428839e+00,-1.128822359105552176e+00
1.664319268296689941e-02,-3.371031414664686920e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.314787467693928402e+00,9.548320039859145569e-02,-1.501934540475167612e+00,-1.127640394912689192e+00
1.664319268296689941e-02,-2.932876340875376631e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.315392974954018523e+00,9.544490724306142759e-02,-1.502464993150419037e+00,-1.128320956757618010e+00
1.664319268296689941e-02,-2.494721267086066341e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.319959426641921008e+00,9.660738359168367928e-02,-1.509309898481621115e+00,-1.130608954802220900e+00
1.664319268296689941e-02,-2.056566193296756051e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.328004142653771646e+00,9.888424643447610296e-02,-1.521817265665344809e+00,-1.134191019642198484e+00
1.664319268296689941e-02,-1.618411119507445761e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.338972239759783855e+00,1.021795233357911808e-01,-1.539244105497934445e+00,-1.138700374021633266e+00
1.664319268296689941e-02,-1.180256045718135471e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.352252344506832404e+00,1.063929443843581457e-01,-1.560782515500174439e+00,-1.143722173513490370e+00
1.664319268296689941e-02,-7.421009719288251816e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.367193318068679497e+00,1.114245662229173539e-01,-1.585585467865597398e+00,-1.148801168271761597e+00
1.664319268296689941e-02,-3.039458981395148918e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.383121489360137790e+00,1.171780833529266069e-01,-1.612790532731873894e+00,-1.153452445988401687e+00
1.664319268296689941e-02,1.342091756497953980e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.399357888560161634e+00,1.235627433305021422e-01,-1.641540865487945755e+00,-1.157174911632377512e+00
1.664319268296689941e-02,5.723642494391056879e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.415234986491591185e+00,1.304941314468754943e-01,-1.671003484127467242e+00,-1.159466488855715127e+00
1.664319268296689941e-02,1.010519323228415978e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.430112475330559851e+00,1.378942052909703508e-01,-1.700385117700861759e+00,-1.159839832960257944e+00
1.664319268296689941e-02,1.448674397017726267e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.443391671383554842e+00,1.456909248395334699e-01,-1.728945884069040373e+00,-1.157837458698069311e+00
1.664319268296689941e-02,1.886829470807036557e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.454528179183800729e+00,1.538177310908329931e-01,-1.756010932121833346e+00,-1.153045426245768112e+00
1.664319268296689941e-02,2.324984544596346847e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.463042525382713510e+00,1.622130330345146754e-01,-1.780980070130362192e+00,-1.145104980635064829e+00
1.664319268296689941e-02,2.763139618385657137e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.468528547943767748e+00,1.708197915845644232e-01,-1.803335339449513963e+00,-1.133721756438021533e+00
1.664319268296689941e-02,3.201294692174967427e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.470659407852067613e+00,1.795852426295320992e-01,-1.822646483405950590e+00,-1.118672332298184635e+00
1.664319268296689941e-02,3.639449765964277717e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.469191173663364047e+00,1.884607738120963605e-01,-1.838574290335072803e+00,-1.099808056991655292e+00
1.664319268296689941e-02,4.077604839753588006e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.463964010524701376e+00,1.974019541124264199e-01,-1.850871840585057271e+00,-1.077056180464345481e+00
1.664319268296689941e-02,4.515759913542898296e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.454901081749609970e+00,2.063687061383587540e-01,-1.859383745780793129e+00,-1.050418417718426811e+00
1.664319268296689941e-02,4.953914987332208586e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.442005339887747040e+00,2.153256044537365521e-01,-1.864043524617070791e+00,-1.019967155158423289e+00
1.664319268296689941e-02,5.392070061121518876e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.425354443155576911e+00,2.242422771835109185e-01,-1.864869306435258167e+00,-9.858395798758955442e-01
1.664319268296689941e-02,5.830225134910829166e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.405094080259948974e+00,2.330938815249742335e-01,-1.861958088048898396e+00,-9.482300724709995521e-01
1.664319268296689941e-02,6.268380208700139455e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.381430020781457824e+00,2.418616164602765684e-01,-1.855478789043599974e+00,-9.073812525193157841e-01
1.664319268296689941e-02,6.706535282489449745e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.354619228717839796e+00,2.505332281950348738e-01,-1.845664355980108251e+00,-8.635741014555714523e-01
1.664319268296689941e-02,7.144690356278760035e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,-1.324960383463803737e+00,2.591034563443073147e-01,-1.832803157898646118e+00,-8.171176090289613558e-01
