distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.247509961456799932e+00,-5.000918895357400196e-01,2.518264744110260134e-01,6.289684362622549596e-01,7.379441122387959684e-01,2.023543663328560172e+00,-1.389497970695084739e+00,3.576249513850461581e-02,-1.459592461166553834e+00,-1.319403480223615643e+00
1.851389654844070032e+00,-4.192823612506070274e-01,8.325390618156619515e-01,5.857299253099840231e-01,-2.054237786806009936e-01,4.259844928158150190e-01,-1.229869319980209985e+00,5.075472850466978408e-02,-1.329348587849362717e+00,-1.130390052111057253e+00
2.423202006724940016e+00,6.712980156583760183e-02,-2.858703657784519847e-01,-1.275701568201289993e+00,-1.756645392194219890e-01,1.160057501336700048e+00,-1.412861203482746353e+00,6.388451782759224651e-02,-1.538074858424827163e+00,-1.287647548540665543e+00
3.876544089236159785e+00,2.295005812002389955e+00,-1.404279793372569918e+00,-1.007840352553569963e+00,-2.229052062040819848e+00,1.243219023880510088e+00,-1.397120892193013830e+00,1.661693907465048858e-01,-1.722812898056163444e+00,-1.071428886329864216e+00
6.680131758643839568e+00,1.148924975382179969e+00,-2.479673473751519808e+00,1.615030254009139909e-01,-3.363644323097920164e-01,2.240176062140379898e+00,-1.643282587844311804e+00,2.725629216230308627e-01,-2.177505914225452255e+00,-1.109059261463171353e+00
1.656542920262960017e+00,-2.928253520236119845e-01,-1.138073769178190031e-01,3.352728901713600274e-01,7.855588953766829974e-01,6.947367294400049742e-01,-1.132526896501662383e+00,4.229123490906433469e-02,-1.215417716923428593e+00,-1.049636076079896174e+00
2.507460545156369847e+00,-5.308428585338590411e-01,6.389681993474499722e-01,-3.014652695322310081e-04,3.094110639978089883e-01,3.338219546856640019e-01,-1.130173109878600979e+00,4.731705870268100578e-02,-1.222914544935855830e+00,-1.037431674821346128e+00
3.857565482930959799e+00,2.297886972221570012e-01,-6.515042171072960020e-01,-8.305352636172189662e-01,-2.381589420878980068e-01,1.105158334360319961e+00,-1.464956167060310843e+00,4.580074508706544895e-02,-1.554725627430959101e+00,-1.375186706689662586e+00
1.414771754933860093e+00,-2.800184562564460022e-01,-6.268008879923850189e-03,8.060015848781549863e-01,5.564127515255999912e-01,2.515337370863529820e+00,-1.315127900914483172e+00,4.768875925995447879e-02,-1.408597869063993979e+00,-1.221657932764972365e+00
1.125040294856950007e+00,-5.615217623316149931e-01,4.669052104868169906e-01,-7.470495852376769497e-01,4.760628049804149775e-01,9.038537890875099345e-02,-1.225708080963848978e+00,4.339770407100072142e-02,-1.310767580943010380e+00,-1.140648580984687577e+00
