dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
5.258865900514830149e-05,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.421366834457372663e+00,7.908615556855635997e-02,-1.576375699371743044e+00,-1.266357969543002282e+00
1.771135103979484468e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.423414285222371234e+00,7.735398170949790708e-02,-1.575028089372987106e+00,-1.271800481071755362e+00
3.537011342058454105e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.425306143890314958e+00,7.568625226634692615e-02,-1.573651198332354895e+00,-1.276961089448275022e+00
5.302887580137423396e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.427042859964723132e+00,7.408188526070692836e-02,-1.572243355075708671e+00,-1.281842364853737593e+00
7.068763818216393380e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.428624947997816808e+00,7.253970829682819532e-02,-1.570802776259600186e+00,-1.286447119736033429e+00
8.834640056295363364e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.430052986813970639e+00,7.105845990371030541e-02,-1.569327568225242775e+00,-1.290778405402698503e+00
1.060051629437433196e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.431327618671307977e+00,6.963679159429550514e-02,-1.567815730196127078e+00,-1.294839507146488877e+00
1.236639253245330194e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.432449548392437988e+00,6.827327067477316491e-02,-1.566265158914993405e+00,-1.298633937869882571e+00
1.413226877053227193e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.433419542433643112e+00,6.696638383794702165e-02,-1.564673654756019161e+00,-1.302165430111267064e+00
1.589814500861124191e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.434238427921305625e+00,6.571454153481090521e-02,-1.563038929329535032e+00,-1.305437926513076219e+00
1.766402124669021190e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.434907091630586828e+00,6.451608310844036964e-02,-1.561358614523129962e+00,-1.308455568738043695e+00
1.942989748476918188e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.435426478936479677e+00,6.336928268119608465e-02,-1.559630272991624045e+00,-1.311222684881335310e+00
2.119577372284814909e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.435797592710210679e+00,6.227235571066866426e-02,-1.557851409903121320e+00,-1.313743775517300039e+00
2.296164996092711907e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.436021492182663950e+00,6.122346619687234898e-02,-1.556019485928533674e+00,-1.316023498436794226e+00
2.472752619900608906e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.436099291766962383e+00,6.022073443359859252e-02,-1.554131931256815591e+00,-1.318066652277109174e+00
2.649340243708506182e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.436032159842190126e+00,5.926224521640102022e-02,-1.552186160466336062e+00,-1.319878159218044189e+00
2.825927867516402903e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.435821317498120475e+00,5.834605641813182808e-02,-1.550179588077658765e+00,-1.321463046918582185e+00
3.002515491324299624e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.435468037257981555e+00,5.747020781099724390e-02,-1.548109644567536192e+00,-1.322826429948426918e+00
3.179103115132196899e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.434973641751004170e+00,5.663273003289402696e-02,-1.545973792615476405e+00,-1.323973490886531934e+00
3.355690738940093620e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.434339502363584984e+00,5.583165357101277371e-02,-1.543769543362770058e+00,-1.324909461364399910e+00
3.532278362747990896e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.433567037856469106e+00,5.506501766563270950e-02,-1.541494472481109268e+00,-1.325639603231828945e+00
3.708865986555887617e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.432657712956784790e+00,5.433087902442420430e-02,-1.539146235844656152e+00,-1.326169190068913428e+00
3.885453610363784893e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.431613036918753634e+00,5.362732024058156077e-02,-1.536722584590293428e+00,-1.326503489247213841e+00
4.062041234171681614e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.430434562063607862e+00,5.295245784136113493e-02,-1.534221379432675780e+00,-1.326647744694539943e+00
4.238628857979578335e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.429123882289502712e+00,5.230444989907630932e-02,-1.531640604091692337e+00,-1.326607160487313086e+00
4.415216481787475611e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.427682631566646876e+00,5.168150312911048982e-02,-1.528978377699703461e+00,-1.326386885433590290e+00
4.591804105595372332e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.426112482405884396e+00,5.108187942577858270e-02,-1.526232966080410369e+00,-1.325991998731358423e+00
4.768391729403269608e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.424415144315138715e+00,5.050390186424565109e-02,-1.523402791969060255e+00,-1.325427496661217175e+00
4.944979353211166329e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.422592362229825991e+00,4.994596005737683697e-02,-1.520486443942284494e+00,-1.324698280517367488e+00
5.121566977019063049e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.420645914938230225e+00,4.940651497028296368e-02,-1.517482684279984895e+00,-1.323809145596475556e+00
5.298154600826960881e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.418577613483863686e+00,4.888410312641217753e-02,-1.514390455611631658e+00,-1.322764771356095714e+00
5.474742224634857601e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.416389299563918680e+00,4.837734028540563447e-02,-1.511208886523313755e+00,-1.321569712604523605e+00
5.651329848442754322e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.414082843913947229e+00,4.788492459267112283e-02,-1.507937296115582582e+00,-1.320228391712311877e+00
5.827917472250651043e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.411660144681971429e+00,4.740563925248582333e-02,-1.504575197616843552e+00,-1.318745091747099307e+00
6.004505096058547764e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.409123125803536158e+00,4.693835479956093293e-02,-1.501122301210675580e+00,-1.317123950396396737e+00
6.181092719866445595e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.406473735360338928e+00,4.648203098898554680e-02,-1.497578516098750701e+00,-1.315368954621927156e+00
6.357680343674342316e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.403713943948139420e+00,4.603571838014382939e-02,-1.493943951973221385e+00,-1.313483935923057455e+00
6.534267967482239037e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.400845743036405855e+00,4.559855967943753086e-02,-1.490218920008103520e+00,-1.311472566064708190e+00
6.710855591290135758e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.397871143325033483e+00,4.516979090497018345e-02,-1.486403933498775087e+00,-1.309338353151291878e+00
6.887443215098033589e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.394792173115679379e+00,4.474874241575431399e-02,-1.482499708250557768e+00,-1.307084637980800990e+00
7.064030838905930310e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.391610876669401087e+00,4.433483989321811147e-02,-1.478507162860108526e+00,-1.304714590478693648e+00
