dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
5.258865900514830149e-05,-8.811459097227459791e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-2.327111015517142611e+00,1.916459334742213472e-01,-2.702737045126616611e+00,-1.951484985907668834e+00
5.258865900514830149e-05,-8.371459914376624400e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-2.251578068946034517e+00,1.685584272561385377e-01,-2.581952586368065905e+00,-1.921203551524002906e+00
5.258865900514830149e-05,-7.931460731525787899e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-2.167516568024663304e+00,1.474567953275612020e-01,-2.456531886866683223e+00,-1.878501249182643384e+00
5.258865900514830149e-05,-7.491461548674951398e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-2.077129248095497260e+00,1.284817091098419406e-01,-2.328953397950787263e+00,-1.825305098240207036e+00
5.258865900514830149e-05,-7.051462365824116008e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.982782839559219523e+00,1.117378166108815019e-01,-2.201788960116547234e+00,-1.763776719001891813e+00
5.258865900514830149e-05,-6.611463182973280617e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.886938073755199508e+00,9.728953462250740369e-02,-2.077625561615314087e+00,-1.696250585895084928e+00
5.258865900514830149e-05,-6.171464000122444116e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.792074521316297631e+00,8.515481887670686700e-02,-1.958977966314643160e+00,-1.625171076317952101e+00
5.258865900514830149e-05,-5.731464817271607615e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.700613051094806538e+00,7.529673343412117414e-02,-1.848194648625683945e+00,-1.553031453563929132e+00
5.258865900514830149e-05,-5.291465634420772224e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.614838894393703539e+00,6.761516040175474807e-02,-1.747364608781142747e+00,-1.482313180006264330e+00
5.258865900514830149e-05,-4.851466451569936278e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.536828360249313796e+00,6.194482319009798899e-02,-1.658240213701905885e+00,-1.415416506796721707e+00
5.258865900514830149e-05,-4.411467268719100332e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,-1.468382164755528851e+00,5.806751627068689608e-02,-1.582194496646075255e+00,-1.354569832864982448e+00
