dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
2.638292173795659945e+00,9.634959481166890383e-01,8.172991970880040258e-01,-1.339756172549829927e+00,2.065114793531719783e+00,-4.046767217854220222e-01,1.493913820951219940e+00,-8.511992749882010267e-01,1.023808951603289996e+00,-1.600694667979034591e+00,1.770000681633057127e-01,-1.947614801579113708e+00,-1.253774534378955474e+00
1.580562226715259977e-01,-8.242471115890389610e-01,4.301574721515830091e-02,9.830941770687160464e-01,7.195540879226920428e-01,-5.259621047081429746e-01,5.832810934391230440e-01,8.956680813830489862e-01,4.916592031064649926e-01,-1.291362755959658104e+00,5.130488491546032759e-02,-1.391920330393960459e+00,-1.190805181525355749e+00
1.383287083140580069e-02,-5.021927607114750058e-01,4.301574721515830091e-02,3.808737160565000002e-01,1.022495604909040012e-01,-3.728534885134879989e-02,9.522956627577519595e-02,1.695426385302639949e-01,4.382010095071779965e-01,-1.323465664660786745e+00,4.510974740001942596e-02,-1.411880769564824778e+00,-1.235050559756748711e+00
2.831672779322130129e+00,2.077972808889779976e+00,2.666976327339809938e+00,-5.869805962845590086e-01,1.262890848190850068e+00,-8.123152621467649714e-01,1.362973167322029999e+00,-1.940387439267380110e+00,1.445703354125090101e+00,-1.121008857136110093e+00,2.098999087296131716e-01,-1.532412678246152016e+00,-7.096050360260682810e-01
3.789183366597220215e-01,-5.396803316851449539e-01,1.290472416454750137e-01,3.808737160565000002e-01,9.681075408181339936e-01,1.177744002939500101e+00,3.630627214263920099e-01,-2.389241796740449938e-02,3.789538849396220099e-01,-1.509275382842456992e+00,7.341086444864715344e-02,-1.653160677161805481e+00,-1.365390088523108503e+00
1.365189319126129952e+00,-2.045824033435170164e-02,2.580944832909489728e-01,6.174603257398709744e-01,4.563158577227049983e-01,-4.090277669126939908e-01,1.922446869192210084e+00,-2.976774210102570151e-01,1.392049397228110053e+00,-1.038322566199866515e+00,5.488340034459882055e-02,-1.145894030875280301e+00,-9.307511015244528396e-01
2.045909774158579886e+00,3.200304359832820134e-01,1.763645635821490032e+00,-2.643624921708729869e-01,3.301355490318019781e-01,-6.238606200717740080e-01,1.761746976101840056e+00,1.873981822069719916e-01,1.412780628599799915e+00,-1.468389537991736216e+00,5.300518366854087976e-02,-1.572279697982076341e+00,-1.364499378001396090e+00
5.263620625844289691e-01,1.397309852846770006e+00,2.753007821770120156e+00,-5.869805962845590086e-01,2.536115428558970208e+00,-3.943429896081490083e-01,1.118947403740359947e+00,-1.496974771295799922e+00,8.745994542566799534e-01,-1.540561535346266719e+00,1.832622423001799561e-01,-1.899755530254619407e+00,-1.181367540437914032e+00
1.741483357242370023e+00,4.722436444413830037e-01,1.118409427594110106e+00,-5.869805962845600078e-01,1.668625806309010029e+00,3.755200575986309963e-01,1.708180345071719897e+00,1.606148666919099965e-01,4.780025184636820246e-01,-1.304702429339030578e+00,8.258762650014925266e-02,-1.466574177279323044e+00,-1.142830681398738113e+00
1.216841449508409972e-01,-6.059616721183730403e-01,8.603149443031650467e-02,4.023815896640789980e-01,2.746597236590769819e-01,5.639746996736210161e-01,3.273516340729770158e-01,1.606148666919099965e-01,2.307363811487639915e-01,-1.493083500045296885e+00,4.212869249688760975e-02,-1.575655737339196616e+00,-1.410511262751397155e+00
2.196708122739260194e+00,3.682149548958890128e-01,1.376503910885060078e+00,2.733343480186050112e-01,8.745600705817749843e-01,-6.388173376967739570e-01,1.910543173407740047e+00,-7.500178608201899522e-01,1.495488014681040090e+00,-1.256645151258933835e+00,8.207147273208055538e-02,-1.417505237813811769e+00,-1.095785064704055900e+00
2.253783234629210153e+00,2.236163943898009931e-01,1.204440922024430094e+00,4.023815896640789980e-01,5.362663119363370035e-01,-1.153872304637659996e+00,2.231942959588479880e+00,7.133714830837069309e-02,9.906315547398180099e-01,-1.354470969738583053e+00,1.053284896845549656e-01,-1.560914809520310698e+00,-1.148027129956855408e+00
