dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
1.875955247234769863e-01,-6.363413441120000513e-01,1.720629888606330093e-01,8.755548090308199471e-01,1.143780987831759965e+00,3.703531915099950167e-01,5.356663103012360150e-01,4.730868810342960251e-01,1.311249474127579973e+00,6.076004664569316649e-01,7.203154085868317125e-02,4.664186463739126154e-01,7.487822865399507144e-01
3.140256653863179870e-01,-5.341031306916640409e-01,1.376503910885060078e+00,-9.311065740058249718e-01,1.171518900518119910e+00,1.726519569616749905e+00,1.785554367670789955e-01,9.908976476588240434e-01,1.848058493001399905e+00,4.512744408895414949e-01,1.778656256006793668e-01,1.026578147122099161e-01,7.998910670668730738e-01
1.064839952003610035e-01,-5.623511937273579786e-01,5.161889665818989448e-01,6.174603257398709744e-01,5.928298985908799779e-01,3.102543806895429745e-01,4.166293524565180262e-02,1.427593230152029991e-01,1.398363486715320070e+00,5.629588823099301864e-01,7.584724095689192314e-02,4.142982900344219788e-01,7.116194745854383941e-01
4.041100058054379884e-01,-2.978075310717340218e-01,8.603149443031650190e-01,2.733343480186050112e-01,7.603451359908719454e-01,-6.654674891013180327e-01,9.403919669732779818e-01,3.064351400516899804e-01,1.264131165828420000e+00,6.034866444149638021e-01,9.219391634459443707e-02,4.227865683795587470e-01,7.841867204503688571e-01
3.215472679756590235e-01,-6.658998499438509855e-01,4.731732193667410047e-01,6.389681993474499722e-01,1.066006056181759976e-01,-4.598743910589390277e-02,4.880515271633469876e-01,3.600017710818140260e-01,3.299388438374660226e-01,2.747349418583432401e-01,6.811299216370118870e-02,1.412334772174889119e-01,4.082364064991975683e-01
8.921138640600770331e-02,-6.458277785674160221e-01,5.161889665818989448e-01,1.442871063731299974e-01,1.316191150999929949e-01,5.876335075531660124e-01,7.261254428527840199e-01,8.361496024606900335e-01,1.885734158227559965e+00,7.092447893291380367e-01,1.039285005158902264e-01,5.055449283179931363e-01,9.129446503402829372e-01
5.899672785485919890e-01,-3.907361674433110221e-01,9.463464387334810102e-01,3.163500952337630068e-01,8.033117066226870273e-01,1.163609322054619949e-01,6.427995723614809975e-01,1.576389427457919878e-01,5.860363020650339871e-01,5.967430083490463666e-01,7.540829790027263335e-02,4.489427444645119891e-01,7.445432722335807441e-01
2.511200282624349855e-02,-7.872632804729350342e-01,1.720629888606330093e-01,7.895233146005029568e-01,1.126376807322670093e+00,-1.811417783717959862e-01,3.928219608875719859e-01,8.659088419218690102e-01,1.034901154045289928e+00,5.044657967211723104e-01,6.052521806125114867e-02,3.858363693211200873e-01,6.230952241212245335e-01
7.721652946567509890e-01,1.832822242559249970e+00,1.075393680378960104e+00,-2.243086864068149833e+00,6.020758694863339588e-01,-1.613723386526269898e+00,1.368925015214270124e-01,-1.767783850392540046e+00,1.268800080832400035e+00,7.516208004054011349e-01,2.091459524204188070e-01,3.416947336613802566e-01,1.161546867149422013e+00
2.745704401832639974e+00,6.484565482267190539e-01,5.161889665818989448e-01,1.873028535882879930e-01,6.820263236999659640e-01,1.634066076440960080e-01,2.743801878320769827e+00,-9.047659060183239621e-01,1.825507788185430025e+00,1.576092056969773614e+00,2.596723556320620352e-01,1.067134239930932038e+00,2.085049874008615411e+00
