dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
5.258865900514830149e-05,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.777984245405578756e-01,2.210045125413906686e-01,4.462957995943217515e-02,9.109672691216835760e-01
1.771135103979484468e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.713229463201223934e-01,2.168471345694905072e-01,4.630256256392101255e-02,8.963433300763237188e-01
3.537011342058454105e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.652497240956918745e-01,2.128546277082271343e-01,4.805465378756668127e-02,8.824447944038170677e-01
5.302887580137423396e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.595989105936905683e-01,2.090241403541816256e-01,4.991159549949458762e-02,8.692862256878866045e-01
7.068763818216393380e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.543900962401982713e-01,2.053524592945495386e-01,5.189927602288119113e-02,8.568809164575152959e-01
8.834640056295363364e-02,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.496422660744290867e-01,2.018360323394486344e-01,5.404364268910977209e-02,8.452408894597484013e-01
1.060051629437433196e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.453737576615657279e-01,1.984709942873858490e-01,5.637060885828948376e-02,8.343769064648419720e-01
1.236639253245330194e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.416022201253803070e-01,1.952531959876934453e-01,5.890595598950115752e-02,8.242984842612595120e-01
1.413226877053227193e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.383445744006806977e-01,1.921782361846861853e-01,6.167523147869580225e-02,8.150139173226655931e-01
1.589814500861124191e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.356169748160926836e-01,1.892414957649702634e-01,6.470364311675097513e-02,8.065303065154343365e-01
1.766402124669021190e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.334347721081193705e-01,1.864381739715625930e-01,6.801595112385672159e-02,7.988535930923820194e-01
1.942989748476918188e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.318124779628034204e-01,1.837633260985294670e-01,7.163635880968566294e-02,7.919885971159211779e-01
2.119577372284814909e-01,-1.400000000000000029e-02,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,4.307637311880174735e-01,1.812119021563190768e-01,7.558840296163210626e-02,7.859390594144028963e-01
