dist_pToPET,pToPET,dist_isothermality,isothermality,dist_tempColdest,tempColdest,dist_radJan,radJan,geogDistance100km,mean,sd,lower,upper
5.258865900514830149e-05,-8.811459097227459791e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.710590329162222423e-01,2.857115222064047777e-01,2.110644493916689068e-01,1.331053616440775578e+00
5.258865900514830149e-05,-8.371459914376624400e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.687058728053359768e-01,2.666964248522992742e-01,2.459808800948294349e-01,1.291430865515842630e+00
5.258865900514830149e-05,-7.931460731525787899e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.644572606244212087e-01,2.488493564175452144e-01,2.767125220460325830e-01,1.252201999202809723e+00
5.258865900514830149e-05,-7.491461548674951398e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.583536028128701201e-01,2.323137393512074156e-01,3.030186736845035811e-01,1.213688531941236715e+00
5.258865900514830149e-05,-7.051462365824116008e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.504508126780287114e-01,2.172386845826738966e-01,3.246629908959878796e-01,1.176238634460069488e+00
5.258865900514830149e-05,-6.611463182973280617e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.408198790190773098e-01,2.037768761048423249e-01,3.414172018535863717e-01,1.140222556184568248e+00
5.258865900514830149e-05,-6.171464000122444116e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.295462501843897885e-01,1.920798114456159222e-01,3.530698197509825609e-01,1.106022680617797072e+00
5.258865900514830149e-05,-5.731464817271607615e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.167290398857227851e-01,1.822895073310940861e-01,3.594416055167783952e-01,1.074016474254667175e+00
5.258865900514830149e-05,-5.291465634420772224e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,7.024800638314935286e-01,1.745264494712311376e-01,3.604082228678804900e-01,1.044551904795106623e+00
5.258865900514830149e-05,-4.851466451569936278e-01,1.044999999999999929e+00,5.000000000000000104e-03,1.131999999999999895e+00,2.000000000000000042e-03,1.076999999999999957e+00,1.299999999999999940e-02,1.328000000000000069e+00,6.869227188731136247e-01,1.688750032175002358e-01,3.559277125668131592e-01,1.017917725179414035e+00
