distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.955294090373250082e+00,-8.174948040211489630e-02,-1.138073769178190031e-01,2.262248216690929958e-01,6.486663938552570396e-01,1.726749908784390053e+00,9.904471985870841877e-01,8.862775320622372222e-02,8.167368023028857005e-01,1.164157594871282786e+00
2.266396291368609983e+00,-1.554818974228530104e-01,-5.224569754618230144e-01,-5.319447917581420215e-01,-4.315939985855670180e-01,8.930431788190880127e-01,7.665848956274353698e-01,9.283564354403037178e-02,5.846270342811358267e-01,9.485427569737349129e-01
4.248810919758770233e+00,3.364337334095480192e-01,8.540469354232409493e-01,2.172570068728460133e-02,-3.393403562559100251e-01,1.863159389797500065e+00,1.864893779367857718e+00,1.706029991783317989e-01,1.530511900978327455e+00,2.199275657757388203e+00
4.814998438971460182e+00,-7.347346514588429800e-01,-6.945199643224539976e-01,5.003406646872610164e-01,9.670902560898799738e-01,2.217714611563109894e+00,1.109164157998612232e+00,1.938286834096887290e-01,7.292599385156223191e-01,1.489068377481602035e+00
2.228157829574390014e+00,-5.877418407971559677e-01,2.303186008034459886e-01,-9.784707979444839943e-01,3.064351400516899804e-01,6.510782789885349864e-01,7.483712980866202846e-01,8.994086540382754957e-02,5.720872018951183025e-01,9.246553942781222668e-01
2.211284708226370022e+00,-4.009727470933699967e-01,1.442871063731299974e-01,-9.572594529490300319e-01,2.379888892909770015e-01,1.292320109596809985e+00,9.386762071122836115e-01,8.095971870660491343e-02,7.799951584473380217e-01,1.097357255777229312e+00
1.537386776367889896e+00,-8.852196330499920163e-02,-3.288861129936109795e-01,3.948278203509030249e-01,6.933052530470269481e-01,1.162604994967519900e+00,7.312656590294612791e-01,9.420339984497939911e-02,5.466269953333016129e-01,9.159043227256209452e-01
2.405752414526499905e+00,3.936831779461940073e-01,-5.869805962845600078e-01,-9.447501982081220051e-01,-4.911124775079260263e-01,1.555071139089740040e+00,1.027239253995603452e+00,8.078072082301571144e-02,8.689090411824926807e-01,1.185569466808714223e+00
2.885991064478850010e+00,5.693295536840550231e-01,-3.073782393860309825e-01,-3.138486547536080140e-01,-5.625346522147569583e-01,2.000593030765529967e+00,1.046868262277639960e+00,6.796239889551548841e-02,9.136619604424296437e-01,1.180074564112850277e+00
8.965972046673880147e-01,-7.231589004275390531e-01,4.453973368792379928e-01,-1.558513285695249939e-01,1.056367974473420013e+00,1.313136917263550085e+00,6.151987892744514852e-01,5.964459213267388205e-02,4.982953886944107014e-01,7.321021898544922690e-01
2.087711252772539883e+00,-5.158486262083850082e-01,4.238894632716579958e-01,-5.354800159240510338e-01,4.373757936808809754e-01,7.416621117814530262e-01,7.509182242497424165e-01,3.916615182796957806e-02,6.741525666669220263e-01,8.276838818325628067e-01
1.878191115344459927e+00,-6.145010169947290324e-01,5.744445785247119796e-01,-1.759749122831600066e-01,4.671350331420600077e-01,1.335283895784870056e+00,5.749333711317768936e-01,3.691212310434231064e-02,5.025856098472659683e-01,6.472811324162878188e-01
3.807946177794189868e+00,5.862395489005089999e-01,4.238894632716579958e-01,1.019480952213709934e-01,-6.012216635142909604e-01,2.042314237191070081e+00,1.363236657354162995e+00,8.464551896775414364e-02,1.197331440177364925e+00,1.529141874530961065e+00
3.058159177896420111e+00,-1.486162568070389933e-01,-7.375357115376139916e-01,-1.213149078717989937e-01,2.320370413987410119e-01,1.833438187996089930e+00,9.664667572376965943e-01,1.254053729366965131e-01,7.206722262817714109e-01,1.212261288193621667e+00
1.705288857745560049e+00,-3.971358041564819752e-01,3.378579688413420046e-01,-3.965185121717860195e-01,3.748813908124040140e-01,1.376658254648940094e+00,6.797635433056407051e-01,3.161187023007697161e-02,6.178042776546898152e-01,7.417228089565915949e-01
3.077993500604970123e+00,-4.188539665967629944e-01,-3.719018602087689751e-01,-7.628221238240400215e-01,5.028461204954759456e-01,9.148627870956329566e-01,1.082071591570018088e+00,1.091365925341135634e-01,8.681638702031555521e-01,1.295979312936880623e+00
2.155789154168440191e+00,-6.787701156255949719e-01,5.959524521322909774e-01,5.384123095508950296e-01,6.873534051547910417e-01,1.049173352543850024e+00,6.710173729427214573e-01,4.912550419757278491e-02,5.747313847154787991e-01,7.673033611699641154e-01
2.752391728150299866e+00,2.598823631841380016e-02,-9.229950331024029675e-02,-1.974581975990679916e-01,-2.738700294413140002e-01,5.709633056315079891e-01,1.162801417301684515e+00,9.544676896457804371e-02,9.757257501311115133e-01,1.349877084472257405e+00
5.168833474705619713e-01,-6.014577169359339726e-01,5.959524521322909774e-01,-8.414128764353999701e-01,7.200885685620880272e-01,9.000918380450160239e-01,5.373235330148553590e-01,5.751000583968470664e-02,4.246039215690733393e-01,6.500431444606373788e-01
1.656226586006789958e+00,-5.916830329140909672e-01,5.744445785247119796e-01,-5.292253885535970204e-01,1.963259540453249907e-01,1.532571702065169961e-01,4.828507639797476325e-01,6.010401004075330983e-02,3.650469042998711333e-01,6.006546236596240762e-01
1.718676849228210068e+00,-4.031804639884439823e-01,4.238894632716579958e-01,9.805872706099639791e-01,6.486663938552570396e-01,2.420058651955649953e+00,7.770367527536883312e-01,4.978326613656799959e-02,6.794615511260150287e-01,8.746119543813616337e-01
1.440865436322539939e+00,-4.255377864211979944e-01,5.825561194281349969e-02,-3.850970187126950273e-01,7.022330248853799750e-01,4.976916889251379872e-01,6.591643527114243728e-01,4.296629503340504419e-02,5.749504144459505195e-01,7.433782909768982261e-01
6.456418988796549518e-01,-6.717526036762909714e-01,5.529367049171329818e-01,-2.945408920013359855e-01,5.326053599566560326e-01,5.015999206296110069e-01,3.674724989919414542e-01,3.556001231528125445e-02,2.977748748539901791e-01,4.371701231298927293e-01
3.290343181540300144e+00,-7.268670581364119476e-01,-1.167693183689199943e+00,1.101600713212230076e+00,1.124814225234129994e+00,1.347183992228969895e+00,1.232308978382718800e+00,1.903323873227472374e-01,8.592574992301342807e-01,1.605360457535303320e+00
2.567538486507769946e+00,-4.439358295938469756e-01,8.970626826383989449e-01,-9.493669678770960685e-02,3.778573147585220227e-01,1.158990417118509919e+00,9.538531669939255275e-01,7.076743719622895223e-02,8.151489900893167384e-01,1.092557343898534317e+00
1.546973224380949974e+00,3.914867884537799880e-01,-7.079162970266120181e-02,-9.308812418649410336e-01,-4.167143788549769745e-01,1.715580271423519987e+00,8.445839154653042025e-01,1.054483730684045162e-01,6.379051042512313696e-01,1.051262726679377035e+00
1.091625806782420050e+00,-7.059932316019079668e-01,1.657949799807089952e-01,2.003904912259119875e-01,8.450773742990439485e-01,1.571643634313169891e+00,5.484408088324450592e-01,6.346715124719842782e-02,4.240451923879361429e-01,6.728364252769539755e-01
3.673500088610460068e+00,1.850844724410960040e+00,-2.092531748815099846e+00,-1.952289085492159959e+00,-1.226165692199060020e+00,6.346563862765489672e-01,7.534022984445173376e-01,1.848980358011801661e-01,3.910021482742042087e-01,1.115802448614830578e+00
2.562489424046650033e+00,1.464512744047589965e-01,-6.084884698921390056e-01,-4.854429969604179829e-01,-3.185088886330840197e-01,6.060823660305909577e-01,1.149750449845719613e+00,1.164122540943548223e-01,9.215824318207841426e-01,1.377918467870655084e+00
3.184093812206899798e+00,4.419210925671580026e-01,7.895233146005039560e-01,9.174971162645130240e-01,-5.863420437837010279e-01,1.897318304129010036e+00,1.438917225060786675e+00,1.058152800835739649e-01,1.231519276096981752e+00,1.646315174024591599e+00
1.000415758902339913e+00,-1.773616276480400045e-01,3.674773833523439781e-02,6.170092779410089878e-02,-2.857737252257859795e-01,5.929100486468710240e-01,5.945446630924858811e-01,5.339252084341548910e-02,4.898953222393915286e-01,6.991940039455801781e-01
2.216185759576729808e+00,-5.299324400789470202e-01,1.523986472765529940e-02,1.488027908578120062e+00,7.677033516999760554e-01,3.201475405749580005e+00,1.034225408883764574e+00,8.236249937902737073e-02,8.727949101008709576e-01,1.195655907666658191e+00
3.689371959433649817e+00,-6.097840794285740440e-01,-8.665829531830869792e-01,1.127163103334960059e+00,7.617515038077390388e-01,2.859350674227099987e+00,1.209011217632860014e+00,1.106032314189628746e-01,9.922288840516928499e-01,1.425793551214027177e+00
1.283628129521589889e+00,-6.419399241112050403e-01,9.400784298535570516e-01,7.192526226531590350e-01,2.074644122436570051e-02,1.121629110635600002e+00,5.789857634042380186e-01,5.687225913504382474e-02,4.675161354995521212e-01,6.904553913089239714e-01
2.645453805108310075e+00,-1.990733334188729900e-02,1.026109924283870045e+00,4.946299179577159921e-01,-3.929069872860330159e-01,1.783242046751470022e+00,1.166497175461644442e+00,1.499959270010024215e-01,8.725051585396796927e-01,1.460489192383609192e+00
9.379572278905440319e-01,-3.166208176763820048e-01,1.873028535882879930e-01,-9.085759198089170263e-02,-4.226662267472129919e-01,1.329085997620949922e+00,5.283422473364958183e-01,5.439299755734941511e-02,4.217319721240909702e-01,6.349525225489006663e-01
1.689638369511659910e+00,-3.389531871168779964e-01,9.185705562459780538e-01,4.837585209182870133e-02,2.379888892909770015e-01,1.561945290217150006e+00,6.306604543614274805e-01,6.310233032372668249e-02,5.069798869269231956e-01,7.543410217959317654e-01
9.728330097601629589e-01,-3.521881860513850215e-01,-4.928375609508209992e-02,-8.732236781498259326e-02,3.272666076745159858e-01,1.742680297888260066e+00,4.170458125797970594e-01,4.567768171920016940e-02,3.275175564101647230e-01,5.065740687494293404e-01
