distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.664319268296689941e-02,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.391000094128517772e-01,1.840635972321871539e-01,-2.216646411622350543e-01,4.998646599879386088e-01
4.480207382638085045e-02,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.527336215253365659e-01,1.798833914069094819e-01,-1.998378256322060065e-01,5.053050686828791660e-01
7.296095496979479456e-02,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.663934266965782782e-01,1.757798944909733097e-01,-1.781351665057293865e-01,5.109220198988859707e-01
1.011198361132087387e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.800739049112226875e-01,1.717541829414400423e-01,-1.565642936539997920e-01,5.167121034764451393e-01
1.292787172566226828e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.937695569805725770e-01,1.678072665275464337e-01,-1.351326854134184408e-01,5.226717993745635393e-01
1.574375984000366546e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.074749101913367089e-01,1.639400860745077460e-01,-1.138476585146984410e-01,5.287974788973718310e-01
1.855964795434505987e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.211845239357594917e-01,1.601535111597567618e-01,-9.271635793736376918e-02,5.350854058088827525e-01
2.137553606868645428e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.348929953118250313e-01,1.564483377651257057e-01,-7.174574670782132846e-02,5.415317373314714189e-01
2.419142418302784869e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.485949646888800935e-01,1.528252858891596122e-01,-5.094259565387276867e-02,5.481325250316329001e-01
2.700731229736924033e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.622851212319273206e-01,1.492849971252086239e-01,-3.031347313348159433e-02,5.548837155973362911e-01
2.982320041171063751e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.759582083727828983e-01,1.458280322151939978e-01,-9.864734768997351910e-03,5.617811515145632040e-01
3.263908852605202915e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.896090292232741392e-01,1.424548685921392943e-01,1.039748678268115345e-02,5.688205716638671250e-01
3.545497664039342633e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.032324519225502724e-01,1.391658979241851835e-01,3.046729199114733833e-02,5.759976118539531509e-01
3.827086475473481797e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.168234149095345842e-01,1.359614236832194234e-01,5.033902449042454430e-02,5.833078053286446796e-01
4.108675286907621516e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.303769321142484561e-01,1.328416587571936147e-01,7.000728095014896457e-02,5.907465832783479476e-01
4.390264098341760679e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.438880980593433945e-01,1.298067231367058261e-01,8.946692071139999980e-02,5.983092754072867336e-01
4.671852909775900398e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.573520928661663709e-01,1.268566417051029960e-01,1.087130751241645044e-01,6.059911106081682375e-01
4.953441721210040116e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.707641871551184409e-01,1.239913421698700530e-01,1.277411565021731310e-01,6.137872178080637786e-01
5.235030532644179280e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.841197468359718314e-01,1.212106531752136229e-01,1.465468666125531449e-01,6.216926270593905457e-01
5.516619344078318443e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.974142377798227654e-01,1.185143026381476616e-01,1.651262046090533619e-01,6.297022709505921689e-01
5.798208155512458717e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.106432303651036952e-01,1.159019163588616147e-01,1.834754743017349421e-01,6.378109864284724484e-01
6.079796966946597880e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.238024038925823356e-01,1.133730169551357136e-01,2.015912906605163424e-01,6.460135171246483843e-01
6.361385778380737044e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.368875508599960322e-01,1.109270231723758077e-01,2.194705854421394597e-01,6.543045162778525770e-01
6.642974589814876207e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.498945810939141698e-01,1.085632496256686980e-01,2.371106118276035124e-01,6.626785503602248273e-01
6.924563401249016481e-01,2.500000000000000139e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.628195257280961483e-01,1.062809070250786830e-01,2.545089479589419668e-01,6.711301034972503299e-01
