distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.664319268296689941e-02,-8.628892300136410398e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,6.602963578728139327e-01,3.430781175491773305e-01,-1.213675252357360179e-02,1.332729468269201467e+00
1.664319268296689941e-02,-8.190737226347100108e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,6.509410109559702340e-01,3.076767872113099767e-01,4.789450802180272859e-02,1.253987513890137739e+00
1.664319268296689941e-02,-7.752582152557789819e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,6.303595020953252082e-01,2.749839622269444339e-01,9.139093613051407772e-02,1.169328068060136339e+00
1.664319268296689941e-02,-7.314427078768479529e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,6.008055296884634577e-01,2.453971849523063908e-01,1.198270471819429250e-01,1.081784012194983990e+00
1.664319268296689941e-02,-6.876272004979169239e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,5.649890105282722175e-01,2.191906987652095795e-01,1.353752409484614283e-01,9.946027801080830066e-01
1.664319268296689941e-02,-6.438116931189858949e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,5.257790541376814453e-01,1.965325111162245508e-01,1.405753323498813434e-01,9.109827759254816026e-01
1.664319268296689941e-02,-5.999961857400548659e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.858991577097788728e-01,1.774996632120028062e-01,1.379998178142533560e-01,8.337984976053043340e-01
1.664319268296689941e-02,-5.561806783611238370e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.476548442996615140e-01,1.620816141951933187e-01,1.299748804770826105e-01,7.653348081222404176e-01
1.664319268296689941e-02,-5.123651709821928080e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.127287229028782090e-01,1.501675366240678156e-01,1.184003511197053160e-01,7.070570946860510464e-01
1.664319268296689941e-02,-4.685496636032617790e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.820672063442012711e-01,1.415259504797208856e-01,1.046763434039483243e-01,6.594580692844542735e-01
1.664319268296689941e-02,-4.247341562243307500e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.558687778897913767e-01,1.357985111447496396e-01,8.970369604608208203e-02,6.220338597335006714e-01
1.664319268296689941e-02,-3.809186488453997210e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.336683114839062436e-01,1.325311482786273587e-01,7.390726085779664167e-02,5.934293621100158456e-01
1.664319268296689941e-02,-3.371031414664686920e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.144982351978837798e-01,1.312482310442885658e-01,5.725170235107818195e-02,5.717447680446894331e-01
1.664319268296689941e-02,-2.932876340875376631e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.970975968800113609e-01,1.315507517597730436e-01,3.925812343085621769e-02,5.549370703291665041e-01
1.664319268296689941e-02,-2.494721267086066341e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.801358031209074673e-01,1.332065312165306437e-01,1.905100193650738349e-02,5.412206043053076066e-01
1.664319268296689941e-02,-2.056566193296756051e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.624192949303279510e-01,1.362026966348225954e-01,-4.537990473924335966e-03,5.293765803345802379e-01
1.664319268296689941e-02,-1.618411119507445761e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.430558989886503485e-01,1.407387968503757136e-01,-3.279214283808604136e-02,5.189039408153867106e-01
1.664319268296689941e-02,-1.180256045718135471e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,2.215613546867812866e-01,1.471502850131245488e-01,-6.685320393894284008e-02,5.099759133125054689e-01
1.664319268296689941e-02,-7.421009719288251816e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.979033857791381579e-01,1.557742604641363660e-01,-1.074141647305691116e-01,5.032209362888454551e-01
1.664319268296689941e-02,-3.039458981395148918e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.724885006591539705e-01,1.668011138807773408e-01,-1.544416825471695842e-01,4.994186838654774974e-01
1.664319268296689941e-02,1.342091756497953980e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.461037832168426143e-01,1.801730904258957711e-01,-2.070354740179130848e-01,4.992430404515982856e-01
1.664319268296689941e-02,5.723642494391056879e-02,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,1.198293844625295534e-01,1.955696812255702244e-01,-2.634871907395880952e-01,5.031459596646472576e-01
1.664319268296689941e-02,1.010519323228415978e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,9.493724882310602964e-02,2.124734393497317853e-01,-3.215106923023682839e-01,5.113851899485802877e-01
1.664319268296689941e-02,1.448674397017726267e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,7.278860111352548901e-02,2.302772915526530018e-01,-3.785548903296743761e-01,5.241320925567253264e-01
1.664319268296689941e-02,1.886829470807036557e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,5.473818009329797785e-02,2.483930159681228822e-01,-4.321121312042228713e-01,5.415884913908187714e-01
1.664319268296689941e-02,2.324984544596346847e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.204856901462771662e-02,2.663363405762477210e-01,-4.799706585148177940e-01,5.640677965440732411e-01
1.664319268296689941e-02,2.763139618385657137e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.581445770177047599e-02,2.837792573687276665e-01,-5.203928867409357562e-01,5.920218021444767498e-01
1.664319268296689941e-02,3.201294692174967427e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,3.689500389147969128e-02,3.005687605035183840e-01,-5.522197666954162809e-01,6.260097744783756912e-01
1.664319268296689941e-02,3.639449765964277717e-01,-1.400000000000000029e-02,-5.000000000000000104e-03,-1.799999999999999864e-02,1.348000000000000087e+00,4.585277267951753943e-02,3.167152551274075023e-01,-5.749091273702011673e-01,6.666146727292361351e-01
