distance,precip_PET_ratio,Temp_Isothermallity,Temp_ColdestPeriod_min,Rad_Jan_total,geogDistance100km,mean,sd,lower,upper
1.247509961456799932e+00,-5.000918895357400196e-01,2.518264744110260134e-01,6.289684362622549596e-01,7.379441122387959684e-01,2.023543663328560172e+00,7.375366925216351177e-01,4.391578977129483724e-02,6.514617445698972498e-01,8.236116404733729857e-01
1.851389654844070032e+00,-4.192823612506070274e-01,8.325390618156619515e-01,5.857299253099840231e-01,-2.054237786806009936e-01,4.259844928158150190e-01,5.290261729035371507e-01,7.577638951120731214e-02,3.805044494615708039e-01,6.775478963455034975e-01
2.423202006724940016e+00,6.712980156583760183e-02,-2.858703657784519847e-01,-1.275701568201289993e+00,-1.756645392194219890e-01,1.160057501336700048e+00,8.405275342776443726e-01,9.537774798729790893e-02,6.535871482225404927e-01,1.027467920332748363e+00
3.876544089236159785e+00,2.295005812002389955e+00,-1.404279793372569918e+00,-1.007840352553569963e+00,-2.229052062040819848e+00,1.243219023880510088e+00,9.532410123193972851e-01,2.583358081084509150e-01,4.469028284268334872e-01,1.459579196211961083e+00
6.680131758643839568e+00,1.148924975382179969e+00,-2.479673473751519808e+00,1.615030254009139909e-01,-3.363644323097920164e-01,2.240176062140379898e+00,1.486294109956097564e+00,4.365173772395216645e-01,6.307200505666351598e-01,2.341868169345560080e+00
1.656542920262960017e+00,-2.928253520236119845e-01,-1.138073769178190031e-01,3.352728901713600274e-01,7.855588953766829974e-01,6.947367294400049742e-01,7.239965248001886122e-01,7.093193220332028037e-02,5.849699376816808183e-01,8.630231119186964062e-01
2.507460545156369847e+00,-5.308428585338590411e-01,6.389681993474499722e-01,-3.014652695322310081e-04,3.094110639978089883e-01,3.338219546856640019e-01,7.224054936837484009e-01,7.164208456300731609e-02,5.819870079402540419e-01,8.628239794272427599e-01
3.857565482930959799e+00,2.297886972221570012e-01,-6.515042171072960020e-01,-8.305352636172189662e-01,-2.381589420878980068e-01,1.105158334360319961e+00,1.440779795762221038e+00,9.792907141723003472e-02,1.248838815784450107e+00,1.632720775739991970e+00
1.414771754933860093e+00,-2.800184562564460022e-01,-6.268008879923850189e-03,8.060015848781549863e-01,5.564127515255999912e-01,2.515337370863529820e+00,7.199424009259108859e-01,6.896279878420513709e-02,5.847753153088688371e-01,8.551094865429529346e-01
1.125040294856950007e+00,-5.615217623316149931e-01,4.669052104868169906e-01,-7.470495852376769497e-01,4.760628049804149775e-01,9.038537890875099345e-02,4.187166695751539103e-01,5.886415665208989678e-02,3.033429225370577464e-01,5.340904166132500741e-01
3.068287823945619941e+00,-7.824012210524780575e-02,4.669052104868169906e-01,-7.214871951149509632e-01,1.665667145841459862e-01,1.132160174917880013e+00,1.671902641430333514e+00,1.115941425808996690e-01,1.453178121971770098e+00,1.890627160888896929e+00
7.655997733176049813e-01,-3.094749605375730073e-01,1.227792327655509996e-01,-3.940710492876949855e-01,-5.960350532082039909e-02,1.649883527679099904e-01,1.430322254697229400e-01,7.213084464054252132e-02,1.655769974259591049e-03,2.844086809651862890e-01
8.161083700812290509e-01,-6.053677112587819709e-01,4.669052104868169906e-01,-2.213889457990670107e-01,4.433276415731169928e-01,2.878300508027090143e-01,3.016790414651523422e-01,3.343869202478089164e-02,2.361392050965817890e-01,3.672188778337228676e-01
